2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:33 install tar:i386 <none> 1.29b-1.1
2017-12-09 19:40:33 status half-installed tar:i386 1.29b-1.1
2017-12-09 19:40:33 status unpacked tar:i386 1.29b-1.1
2017-12-09 19:40:33 status unpacked tar:i386 1.29b-1.1
2017-12-09 19:40:33 install tzdata:all <none> 2017c-0+deb9u1
2017-12-09 19:40:33 status half-installed tzdata:all 2017c-0+deb9u1
2017-12-09 19:40:34 status unpacked tzdata:all 2017c-0+deb9u1
2017-12-09 19:40:34 status unpacked tzdata:all 2017c-0+deb9u1
2017-12-09 19:40:34 install libustr-1.0-1:i386 <none> 1.0.4-6
2017-12-09 19:40:34 status half-installed libustr-1.0-1:i386 1.0.4-6
2017-12-09 19:40:34 status unpacked libustr-1.0-1:i386 1.0.4-6
2017-12-09 19:40:34 status unpacked libustr-1.0-1:i386 1.0.4-6
2017-12-09 19:40:34 install bsdutils:i386 <none> 1:2.29.2-1
2017-12-09 19:40:34 status half-installed bsdutils:i386 1:2.29.2-1
2017-12-09 19:40:34 status unpacked bsdutils:i386 1:2.29.2-1
2017-12-09 19:40:34 status unpacked bsdutils:i386 1:2.29.2-1
2017-12-09 19:40:34 install libblkid1:i386 <none> 2.29.2-1
2017-12-09 19:40:34 status half-installed libblkid1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libblkid1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libblkid1:i386 2.29.2-1
2017-12-09 19:40:34 install libfdisk1:i386 <none> 2.29.2-1
2017-12-09 19:40:34 status half-installed libfdisk1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libfdisk1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libfdisk1:i386 2.29.2-1
2017-12-09 19:40:34 install libmount1:i386 <none> 2.29.2-1
2017-12-09 19:40:34 status half-installed libmount1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libmount1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libmount1:i386 2.29.2-1
2017-12-09 19:40:34 install libsmartcols1:i386 <none> 2.29.2-1
2017-12-09 19:40:34 status half-installed libsmartcols1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libsmartcols1:i386 2.29.2-1
2017-12-09 19:40:34 status unpacked libsmartcols1:i386 2.29.2-1
2017-12-09 19:40:35 install libuuid1:i386 <none> 2.29.2-1
2017-12-09 19:40:35 status half-installed libuuid1:i386 2.29.2-1
2017-12-09 19:40:35 status unpacked libuuid1:i386 2.29.2-1
2017-12-09 19:40:35 status unpacked libuuid1:i386 2.29.2-1
2017-12-09 19:40:35 install mount:i386 <none> 2.29.2-1
2017-12-09 19:40:35 status half-installed mount:i386 2.29.2-1
2017-12-09 19:40:35 status unpacked mount:i386 2.29.2-1
2017-12-09 19:40:35 status unpacked mount:i386 2.29.2-1
2017-12-09 19:40:35 install util-linux:i386 <none> 2.29.2-1
2017-12-09 19:40:35 status half-installed util-linux:i386 2.29.2-1
2017-12-09 19:40:35 status unpacked util-linux:i386 2.29.2-1
2017-12-09 19:40:35 status unpacked util-linux:i386 2.29.2-1
2017-12-09 19:40:35 install liblzma5:i386 <none> 5.2.2-1.2+b1
2017-12-09 19:40:35 status half-installed liblzma5:i386 5.2.2-1.2+b1
